model,k,silhouette,davies_bouldin,calinski_harabasz,cluster_size_min,cluster_size_max
PCA,5,0.31630942967201847,0.9882813608537472,41904.95885936523,6807,27720
MCA,4,0.33650432634690625,1.0092318564939429,52557.09515946257,12948,26159
CATPCA,5,0.2823261151316007,1.0807108966962313,38217.75314749449,7017,26393
UMAP,4,0.6010773768270982,0.5341432672671108,166143.934611354,3901,37005
