model,n_songs,sample_size,trustworthiness@10,neighbor_overlap@10,trustworthiness@20,neighbor_overlap@20,trustworthiness@50,neighbor_overlap@50,k,silhouette,davies_bouldin,calinski_harabasz,cluster_size_min,cluster_size_max,pure_n_recs,pure_mean_embedding_distance,pure_median_embedding_distance,pure_mean_original_audio_distance,pure_artist_diversity,pure_same_artist_rate,pure_same_genre_rate,pure_same_cluster_rate,pure_mean_popularity_diff,pure_mean_duration_diff,pure_success_rate,pearson_distance_corr,spearman_distance_corr,trust10_norm,overlap10_norm,silhouette_norm,artist_diversity_norm,same_genre_norm,audio_distance_norm,db_norm,final_score
UMAP,81198,5000,0.96,0.171,0.953,0.182,0.937,0.188,4,0.6010773768270982,0.5341432672671108,166143.934611354,3901,37005,10.0,0.08601441914092742,0.09008486787700624,1.2056659109130434,0.9626,0.0088,0.09179999999999999,1.0,20.5104,1.468218,1.0,0.12144665733243663,0.11289051112120621,0.9999999932885907,0.9999999935483871,0.9999999968627574,0.0,0.9999999775784758,1.0,1.0,0.8999999954401625
PCA,81198,5000,0.922,0.074,0.921,0.098,0.92,0.137,5,0.31630942967201847,0.9882813608537472,41904.95885936523,6807,27720,10.0,0.11723890740781526,0.12252253495381182,1.654973838680869,0.9793999999999999,0.0068000000000000005,0.063,0.9726,20.9758,1.49947,1.0,0.9237950172734551,0.8991340071305904,0.7449664379532458,0.3741935459729448,0.1066138977867578,0.9333332814814794,0.35426008174304746,0.591483747806083,0.16910905750111094,0.4937522035072379
CATPCA,81198,5000,0.894,0.047,0.893,0.061,0.891,0.085,5,0.2823261151316007,1.0807108966962313,38217.75314749449,7017,26393,10.0,0.12847078938094667,0.13535085613109207,1.8680383490392232,0.9806,0.0064,0.0634,0.9718,21.4292,1.505208,1.0,0.8795707983903686,0.8470899964123654,0.5570469761272016,0.19999999870967738,0.0,0.9999999444444475,0.36322869140742836,0.397762894315815,1.8295996939698966e-09,0.35708760711888426
MCA,81198,5000,0.811,0.016,0.81,0.017,0.809,0.023,4,0.33650432634690625,1.0092318564939429,52557.09515946257,12948,26159,10.0,0.03388647494573038,0.036061832010468566,2.3055191601933904,0.9783999999999999,0.006,0.047200000000000006,0.9836,21.2924,1.5214079999999999,1.0,0.6768117489117436,0.6418745681725572,0.0,0.0,0.16997018539519285,0.8777777290123435,0.0,9.092122610354636e-10,0.13077803591509596,0.12635110443840472
