model_A,model_B,n_songs,k_A,k_B,aligned_song_agreement_%,purity_A_to_B_%,purity_B_to_A_%,ARI,NMI,pair_overall_agreement_%,same_cluster_preservation_A_to_B_%,same_cluster_preservation_B_to_A_%,same_cluster_jaccard_%
PCA,CATPCA,81198,5,5,77.17061996600901,77.17061996600901,81.42934555038302,0.6046475609021399,0.5991261633243338,85.5675991791631,66.93216072405303,73.21963328211326,53.76910735290558
MCA,CATPCA,81198,4,5,56.545727727283925,56.545727727283925,63.78482228626321,0.2885017139694506,0.3639476339159305,73.43602626035052,43.16303841252223,50.10396915176153,30.187340411089764
PCA,MCA,81198,5,4,59.943594669819454,64.48681001995124,59.943594669819454,0.2804580451347015,0.343245900771925,72.41087962924728,48.051178516302784,45.28314954105076,30.40029863618141
CATPCA,UMAP,81198,5,4,37.329737185644966,60.34508239119191,39.082243405009976,0.12146381026372412,0.16597136033334542,62.69431157549531,47.33122537441139,30.072403267356783,22.532276146284076
MCA,UMAP,81198,4,4,40.036700411340185,49.629301214315625,41.91359393088499,0.06113921778891435,0.07119376484211429,59.169282494976414,41.07783687980532,30.296194265959258,21.11866682601968
PCA,UMAP,81198,5,4,36.082169511564324,50.431045099632996,40.20542377891081,0.054740941612207994,0.07551153790276244,59.29438526241996,40.78187143607009,28.345246865801844,20.080328284345537
