track_id,cluster_PCA,cluster_MCA,cluster_CATPCA,cluster_UMAP
0QBzMgT7NIeoCYy3sJCof1,0,0,2,0
0tgVpDi06FyKpA1z0VMD4v,3,2,1,2
5E30LdtzQTGqRvNd7l6kG5,3,2,1,0
0xzI1KAr0Yd9tv8jlIk3sn,0,0,2,0
3ZCTVFBt2Brf31RLEnCkWJ,3,1,1,1
1rDQ4oMwGJI7B4tovsBOxc,0,0,2,0
44XjoNvtwevktFKjvVe1vH,3,2,2,1
27NovPIUIRrOZoCHxABJwK,0,0,2,1
3PpWCS95gDUDRPko3u1MZ9,0,3,3,1
2ZRo7axmMPeSVUvDbGkJah,3,2,3,1
1JSTJqkT5qHq8MDJnJbRE1,0,2,2,0
18asYwWugKjjsihZ0YvRxO,0,0,2,1
4fouWK6XVHhzl78KzQ1UjL,0,0,2,0
4iJyoBOLtHqaGxP12qzhQI,0,2,2,0
1r9xUipOqoNwggBpENDsvJ,0,0,2,1
3Wrjm47oTz2sjIgck11l5e,0,0,2,1
4xkOaSrkexMciUUogZKVTS,1,3,0,0
2K7xn816oNHJZ0aVqdQsha,0,2,2,1
1ei3hzQmrgealgRKFxIcWn,3,2,1,2
5uU1uuyaUIBOiiUSQG7Wl3,4,0,0,0
7EkWXAI1wn8Ii883ecd9xr,1,3,3,3
003vvx7Niy0yvhvHt4a68B,1,3,0,0
5fwSHlTEWpluwOM0Sxnh5k,0,0,2,0
7JJmb5XwzOO8jgpou264Ml,0,0,2,1
2tGvwE8GcFKwNdAXMnlbfl,3,2,1,2
0ct6r3EGTcMLPtrXHDvVjc,0,0,0,0
3hUxzQpSfdDqwM3ZTFQY0K,3,2,1,0
4woTEX1wYOTGDqNXuavlRC,0,0,2,1
7qiZfU4dY1lWllzX7mPBI3,0,0,2,1
0RDqNCRBGrSegk16Avfzuq,0,0,2,1
1zB4vmk8tFRmM9UULNzbLB,1,3,0,0
2hLXUbsOU9cDb9RFva9FYr,0,0,2,1
2TDyyEBasw10wu5Uh94bR1,0,3,2,0
3RiPr603aXAoi4GHyXx0uy,4,2,2,1
6RUKPb4LETWmmr3iAEQktW,0,0,2,1
0gplL1WMoJ6iYaPgMCL0gX,3,2,1,0
5uCax9HTNlzGybIStD3vDh,3,2,1,0
60a0Rd6pjrkxjPbaKzXjfq,1,0,3,1
28GCbKgjlVD9eDmasGbe0T,0,0,2,0
7EyhPjrJzjx0fk2i7vUJCS,0,0,2,0
5fhcuVxuBWfgNXGuyAtLmr,0,0,2,0
2z9YkcLojiOE7Eu2p9lPZR,0,3,2,1
2zYzyRzz6pRmhPzyfMEC8s,0,3,3,1
5QDLhrAOJJdNAmCTJ8xMyW,0,0,2,1
5kVZxyMY1gfdCLiChsfjn1,0,0,2,0
29d0nY7TzCoi22XBqDQkiP,3,0,1,1
2vXKRlJBXyOcvZYTdNeckS,3,0,2,0
2qxmye6gAegTMjLKEBoR3d,0,2,2,1
70LcF31zb1H0PyJoS1Sx1r,3,2,1,0
1ri9ZUkBJVFUdgwzCnfcYs,0,0,2,1
0o9zmvc5f3EFApU52PPIyW,0,0,2,1
1bgKMxPQU7JIZEhNsM1vFs,0,0,2,1
3GVkPk8mqxz0itaAriG1L7,0,0,2,1
0Q5VnK2DYzRyfqQRJuUtvi,0,0,2,1
1dGr1c8CrMLDpV6mPbImSI,3,2,1,0
4qu63nuBpdn0qHUHuObEj1,0,0,2,0
1WCEAGGRD066z2Q89ObXTq,0,0,2,1
5nujrmhLynf4yMoMtj8AQF,0,0,2,1
37ZJ0p5Jm13JPevGcx4SkF,0,0,2,0
35mvY5S1H3J2QZyna3TFe0,0,0,2,0
0nrRP2bk19rLc0orkWPQk2,0,0,2,0
2DgdHcjWmO3qd50RzuBLgZ,0,0,3,1
1zi7xx7UVEFkmKfv06H8x0,0,0,2,0
10SRMwb9EuVS1K9rYsBfHQ,0,3,0,0
08mG3Y1vljYA6bvDt4Wqkj,1,0,0,0
1u8c2t2Cy7UBoG4ArRcF5g,0,0,2,0
3UmaczJpikHgJFyBTAJVoz,0,0,2,1
3rb0tMq42WfggucPm0HHkA,0,0,2,1
3xKsf9qdS1CyvXSMEid6g8,4,2,1,2
1SOClUWhOi8vHZYMz3GluK,0,0,2,1
1SKPmfSYaPsETbRHaiA18G,1,2,0,0
3U4isOIWM3VvDubwSI3y7a,3,1,1,0
2WfaOiMkCvy7F5fcp2zZ8L,0,0,2,1
3GZD6HmiNUhxXYf8Gch723,0,0,2,0
4cktbXiXOapiLBMprHFErI,3,2,1,0
1HNkqx9Ahdgi1Ixy2xkKkL,3,2,1,0
1Ame8XTX6QHY0l0ahqUhgv,1,2,3,0
0E0DRHf5PfMeor0ZCwB3oT,0,2,2,0
48AJSd42lXpicsGqcgopof,0,0,2,0
3CRDbSIZ4r5MsZ0YwxuEkn,0,0,2,1
04sN26COy28wTXYj3dMoiZ,3,1,1,0
6DCZcSspjsKoFjzjrWoCdn,4,2,1,0
69vlMrzHwATKzupwNcUPyK,0,0,2,0
0bI7K9Becu2dtXK1Q3cZNB,0,0,2,1
0d28khcov6AiegSCpG5TuT,0,0,2,0
2vWBUC9djv6BtiGlmKiQaH,3,1,4,3
2uflssWlCaJ6CbTMOsUpNI,0,0,2,1
69xohKu8C1fsflYAiSNbwM,0,0,2,0
7BKLCZ1jbUBVqRi2FVlTVw,0,2,2,0
7KXjTSCq5nL1LoYtL7XAwS,0,0,2,1
5qaEfEh1AtSdrdrByCP7qR,0,2,0,0
5UWwZ5lm5PKu6eKsHAGxOk,1,3,3,1
0lYBSQXN6rCTvUZvg9S0lU,1,0,2,0
5gflgO9EPbIBf16n5TKnQS,0,0,2,0
0k4d5YPDr1r7FX77VdqWez,0,0,2,0
0yc6Gst2xkRu0eMLeRMGCX,1,1,3,3
503OTo2dSqe7qk76rgsbep,0,0,2,0
50kpGaPAhYJ3sGmk6vplg0,3,2,1,0
7MIhUdNJtaOnDmC5nBC1fb,0,0,2,0
2Fxmhks0bxGSBdJ92vM42m,3,0,1,0
1jDJFeK9x3OZboIAHsY9k2,0,3,2,0
31AOj9sFz2gM0O3hMARRBx,0,0,2,1
6gBFPUFcJLzWGx4lenP6h2,0,0,2,0
4cluDES4hQEUhmXj6TXkSo,0,0,2,0
2LawezPeJhN4AWuSB0GtAU,0,0,2,0
57bgtoPSgt236HzfBOd8kj,1,3,0,0
39LLxExYz6ewLAcYrzQQyP,0,0,2,1
3FAJ6O0NOHQV8Mc5Ri6ENp,3,2,1,2
3IAfUEeaXRX9s9UdKOJrFI,0,0,2,1
7o2CTH4ctstm8TNelqjb51,1,0,0,0
7w87IxuO7BDcJ3YUqCyMTT,0,0,2,1
40riOy7x9W7GXjyGp4pjAv,0,2,2,0
4686eQ81DEswHa90bcdlC9,3,2,1,2
45bE4HXI0AwGZXfZtMp8JR,3,1,1,0
1XGmzt0PVuFgQYYnV2It7A,0,0,2,0
2NMjggapJcXXM7WccGEBUO,0,0,2,0
3QGsuHI8jO1Rx4JWLUh9jd,0,0,2,1
7nFJSfGvvV0WjatTZN6QYi,0,0,2,0
6ocbgoVGwYJhOv1GgI9NsF,3,2,1,1
3Z7CaxQkqbIs1rewKi6v4W,0,0,2,0
2VxeLyX666F8uXCJ0dZF8B,3,2,1,0
3ZFTkvIE7kyPt6Nu3PEa7V,0,0,2,1
7m9OqQk4RVRkw9JJdeAw96,3,2,2,1
3Vi5XqYrmQgOYBajMWSvCi,0,0,2,0
3dPQuX8Gs42Y7b454ybpMR,0,0,3,1
02VBYrHfVwfEWXk5DXyf0T,0,2,2,0
296nXCOv97WJNRWzIBQnoj,0,0,2,0
0G2zPzWqVjR68iNPmx2TBe,0,0,2,0
0VgkVdmE4gld66l8iyGjgx,0,2,2,0
0VO8gYVDSwM1Qdd2GsMoYK,1,0,3,0
0UvZcEfpzVyx47QsRbjyBz,0,0,2,0
6Qyc6fS4DsZjB2mRW9DsQs,1,2,0,1
6JIC3hbC28JZKZ8AlAqX8h,0,0,2,0
6EtKlIQmGPB9SX8UjDJG5s,1,0,0,0
6C1RD7YQVvt3YQj0CmuTeu,0,0,2,1
2nLtzopw4rPReszdYBJU6h,4,3,0,0
2m1hi0nfMR9vdGC8UcrnwU,4,3,0,0
2kx5sQgmjYug0GiDh1a4sU,3,2,1,1
2grjqo0Frpf2okIBiifQKs,0,0,2,0
2374M0fQpWi3dLnB54qaLX,3,2,1,0
0KKkJNfGyhkQ5aFogxQAPU,0,0,2,0
3dYD57lRAUcMHufyqn9GcI,0,0,2,1
3ee8Jmje8o58CHK66QrVC2,0,0,2,0
3cBsEDNhFI9E82vPj3kvi3,1,2,0,1
1RF02Cf80mTaeNXG2P2boR,0,0,2,0
3khEEPRyBeOUabbmOPJzAG,1,3,2,0
1SC5rEoYDGUK4NfG82494W,0,2,2,1
3jjsRKEsF42ccXf8kWR3nu,1,3,0,3
3hRV0jL3vUpRrcy398teAU,3,1,1,2
7iL6o9tox1zgHpKUfh9vuC,0,0,2,1
40iJIUlhi6renaREYGeIDS,1,2,2,0
0MnTkIEP4zZN1IUSu8MvIz,1,3,3,1
6mmPpaltUZK7xjNlBPQQ0p,0,0,2,1
3sa06xVNmLLYIxdNNmVQN8,0,0,2,1
2Y0iGXY6m6immVb2ktbseM,0,0,2,0
0JP9xo3adEtGSdUEISiszL,0,0,2,1
1aL9518P5G72N92b48tuKw,0,0,2,1
1ZdhOMWyFR8Iv9eylMGYg2,3,2,3,1
2P91MQbaiQOfbiz9VqhqKQ,3,2,1,0
4HBZA5flZLE435QTztThqH,0,2,0,2
4CeeEOM32jQcH3eN9Q2dGj,0,3,2,0
